Zip Code,State,Geography,Total population,Male; Estimate; Total population,Female; Estimate; Total population, AGE - Under 5 years, AGE - 5 to 9 years, AGE - 10 to 14 years, AGE - 15 to 19 years, AGE - 20 to 24 years, AGE - 25 to 29 years, AGE - 30 to 34 years, AGE - 35 to 39 years, AGE - 40 to 44 years, AGE - 45 to 49 years, AGE - 50 to 54 years, AGE - 55 to 59 years, AGE - 60 to 64 years, AGE - 65 to 69 years, AGE - 70 to 74 years, AGE - 75 to 79 years, AGE - 80 to 84 years, AGE - 85 years and over
ZIP 00601,PR,ZCTA5 00601,18088,8824,9264,1049,1140,1339,1393,1284,1176,1121,1140,1067,1176,1212,1266,1049,941,615,525,253,326
ZIP 00602,PR,ZCTA5 00602,40859,20079,20780,941,1121,1103,1357,1302,1140,1176,1140,1194,1357,1320,1194,1194,904,687,398,289,271
ZIP 00603,PR,ZCTA5 00603,53162,25971,27191,959,1158,1121,1302,1212,1067,1194,1212,1121,1176,1140,1103,1248,1085,796,561,416,235
ZIP 00606,PR,ZCTA5 00606,6415,3188,3227,1031,1049,1302,1339,1339,941,1067,1140,1357,1176,1266,778,1610,941,705,344,271,470
ZIP 00610,PR,ZCTA5 00610,28805,13958,14847,941,977,1320,1375,1248,1067,1176,977,1447,1248,1176,1085,1158,959,814,597,253,271
ZIP 00612,PR,ZCTA5 00612,66251,31226,35025,1031,1049,1230,1320,1266,1085,1140,1049,1158,1248,1158,1049,1085,1049,742,525,470,452
ZIP 00616,PR,ZCTA5 00616,10466,5205,5261,778,886,1067,1393,1158,922,1140,1158,1718,1320,1085,1140,904,1248,941,434,416,398
ZIP 00617,PR,ZCTA5 00617,24917,11927,12990,1031,1357,1158,1320,1248,1140,1302,1284,1248,1176,995,941,1085,1031,597,543,307,326
ZIP 00622,PR,ZCTA5 00622,6589,2915,3674,922,1302,1121,1194,941,1013,904,1248,1140,1103,778,1140,1212,959,1411,796,597,307
ZIP 00623,PR,ZCTA5 00623,44117,21308,22809,959,1067,1212,1284,1158,959,1085,1284,1284,1230,1085,1176,995,1121,778,633,398,416
ZIP 00624,PR,ZCTA5 00624,24902,12123,12779,1194,1320,1320,1393,1483,1248,1140,1121,1031,1176,1248,1158,904,778,669,398,253,235
ZIP 00627,PR,ZCTA5 00627,34438,16630,17808,959,1176,1194,1375,1266,1067,1176,1284,1176,1266,1176,1103,1103,922,778,470,253,362
ZIP 00631,PR,ZCTA5 00631,1847,891,956,1031,959,633,1140,1736,1899,886,687,742,868,1592,814,1537,1230,941,886,506,0
ZIP 00637,PR,ZCTA5 00637,24799,11788,13011,1067,1013,1357,1357,1194,1031,1121,1049,1248,1067,1121,1176,1031,1013,922,579,362,398
ZIP 00638,PR,ZCTA5 00638,18365,8987,9378,1103,1140,1320,1266,1429,1194,1103,904,1212,1248,1284,1013,1212,995,561,470,326,307
ZIP 00641,PR,ZCTA5 00641,30183,14707,15476,1031,1067,1248,1375,1302,1121,1049,1013,1103,1158,1212,1266,1158,1049,705,543,398,307
ZIP 00646,PR,ZCTA5 00646,38305,18388,19917,1085,1302,1393,1284,1085,995,1212,1212,1592,1230,1121,1085,1031,922,597,380,326,217
ZIP 00647,PR,ZCTA5 00647,5245,2621,2624,868,995,1067,886,1013,1067,1447,778,579,814,1320,886,1592,1827,959,941,506,543
ZIP 00650,PR,ZCTA5 00650,14679,7215,7464,1049,1339,1194,1375,1393,1049,1158,1085,1302,1194,1121,1085,1031,814,832,488,326,217
ZIP 00652,PR,ZCTA5 00652,3831,1857,1974,597,1176,1990,1411,796,434,1700,1013,1429,868,1085,1067,1375,796,814,1013,181,344
ZIP 00653,PR,ZCTA5 00653,13427,6386,7041,1176,1393,1085,1483,1339,1067,1067,1212,1284,1121,868,868,1429,1067,669,488,253,235
ZIP 00656,PR,ZCTA5 00656,20839,10065,10774,1085,941,1574,1302,1266,1212,1158,922,1302,1085,1140,1194,1085,1031,687,561,271,307
ZIP 00659,PR,ZCTA5 00659,41830,20220,21610,977,1158,1212,1284,1248,1140,1194,1212,1248,1266,1158,1049,1085,959,814,470,326,271
ZIP 00660,PR,ZCTA5 00660,17023,7918,9105,832,1067,1067,1176,1031,941,1067,1121,1266,1121,1067,1013,1266,1103,1158,886,561,362
ZIP 00662,PR,ZCTA5 00662,43101,20949,22152,959,1067,1248,1248,1194,1103,1212,1266,1230,1176,1158,1031,1158,922,886,470,362,362
ZIP 00664,PR,ZCTA5 00664,16298,8112,8186,1158,1194,1411,1519,1429,1230,1230,1031,1176,1176,1140,995,1140,868,506,344,253,289
ZIP 00667,PR,ZCTA5 00667,25510,12450,13060,941,1049,1158,1266,1212,1049,1013,1121,1067,1121,1121,1248,1194,1013,1067,579,380,452
ZIP 00669,PR,ZCTA5 00669,28442,14089,14353,995,959,1393,1357,1284,1176,1140,1121,1140,1212,1194,1121,1085,1085,615,561,289,362
ZIP 00670,PR,ZCTA5 00670,9478,4696,4782,1176,1067,1194,1320,1357,1158,1140,1158,959,1212,1230,1067,1194,778,959,398,452,235
ZIP 00674,PR,ZCTA5 00674,43240,20547,22693,1049,1049,1393,1393,1212,1103,1121,1067,1121,1140,1158,1230,1049,995,778,506,416,326
ZIP 00676,PR,ZCTA5 00676,39513,19402,20111,1067,1411,1158,1339,1284,1212,1266,1085,1284,1248,1212,1067,1067,832,669,380,271,289
ZIP 00677,PR,ZCTA5 00677,15012,7334,7678,941,922,1266,1140,1013,941,1121,1248,1158,1248,1158,1320,1049,1067,1085,814,289,289
ZIP 00678,PR,ZCTA5 00678,27045,13157,13888,1031,1140,1230,1339,1320,1103,1230,995,1320,1230,1284,941,1176,941,724,488,271,307
ZIP 00680,PR,ZCTA5 00680,54824,26537,28287,814,941,977,1375,2152,1049,977,922,904,995,1212,1140,1031,1158,778,705,506,452
ZIP 00682,PR,ZCTA5 00682,31908,15174,16734,995,886,1212,1718,1845,1212,1085,778,1049,959,814,1103,1212,1067,760,687,326,398
ZIP 00683,PR,ZCTA5 00683,33050,16032,17018,1013,1013,1085,1320,1429,1067,977,922,1194,1121,1103,1121,1158,1085,959,651,416,470
ZIP 00685,PR,ZCTA5 00685,41403,20283,21120,995,1176,1194,1284,1121,977,1085,1103,1121,1194,1158,1049,1357,1085,850,561,362,416
ZIP 00687,PR,ZCTA5 00687,32484,16186,16298,1103,1085,1592,1483,1429,1266,1212,1212,1140,1212,1194,1085,904,687,615,398,217,235
ZIP 00688,PR,ZCTA5 00688,13251,6822,6429,796,760,1103,1194,1519,1339,995,1357,1429,1140,1212,1085,1103,1158,868,525,253,271
ZIP 00690,PR,ZCTA5 00690,5906,2837,3069,1230,1230,1375,1266,1194,1628,1103,1194,977,977,1121,796,796,1013,886,615,271,452
ZIP 00692,PR,ZCTA5 00692,37329,17734,19595,1140,1103,1483,1357,1357,1194,1248,1230,1121,1121,1158,941,1067,868,651,506,253,271
ZIP 00693,PR,ZCTA5 00693,59513,28817,30696,1013,1121,1339,1284,1230,1140,1194,1085,1266,1230,1230,1121,977,904,814,452,326,344
